number,week,addition
1,1446940800,705077
2,1447545600,7069
3,1448150400,13874
4,1448755200,216863
5,1449360000,41143
6,1449964800,8226
7,1450569600,10778
8,1451174400,1458
9,1451779200,19433
10,1452384000,24896
11,1452988800,28716
12,1453593600,5400
13,1454198400,13161
14,1454803200,11515
15,1455408000,45437
16,1456012800,12120
17,1456617600,11694
18,1457222400,75592
19,1457827200,12300
20,1458432000,6815
21,1459036800,35134
22,1459641600,12302
23,1460246400,149319
24,1460851200,20241
25,1461456000,7163
26,1462060800,19197
27,1462665600,12832
28,1463270400,32007
29,1463875200,17608
30,1464480000,20009
31,1465084800,38978
32,1465689600,49434
33,1466294400,15197
34,1466899200,14819
35,1467504000,14283
36,1468108800,12277
37,1468713600,8140
38,1469318400,3953
39,1469923200,25278
40,1470528000,11805
41,1471132800,26151
42,1471737600,14154
43,1472342400,10733
44,1472947200,18275
45,1473552000,22008
46,1474156800,69383
47,1474761600,5772
48,1475366400,30978
49,1475971200,63306
50,1476576000,27193
51,1477180800,23773
52,1477785600,25107
53,1478390400,35932
54,1478995200,77808
55,1479600000,18397
56,1480204800,15389
57,1480809600,8672
58,1481414400,17654
59,1482019200,6114
60,1482624000,8966
61,1483228800,148321
62,1483833600,15921
63,1484438400,20402
64,1485043200,12202
65,1485648000,23629
66,1486252800,14315
67,1486857600,17149
68,1487462400,8621
69,1488067200,27621
70,1488672000,20391
71,1489276800,30053
72,1489881600,35846
73,1490486400,11558
74,1491091200,13308
75,1491696000,9838
76,1492300800,33029
77,1492905600,23113
78,1493510400,9806
79,1494115200,21448
80,1494720000,27721
81,1495324800,51631
82,1495929600,7708
83,1496534400,11845
84,1497139200,32809
85,1497744000,34194
86,1498348800,15099
87,1498953600,7486
88,1499558400,11479
89,1500163200,15633
90,1500768000,8936
91,1501372800,2384
92,1501977600,4528
93,1502582400,14116
94,1503187200,31488
95,1503792000,6697
96,1504396800,29725
97,1505001600,11748
98,1505606400,16308
99,1506211200,11272
100,1506816000,12642
101,1507420800,19017
102,1508025600,16298
103,1508630400,12110
104,1509235200,4694
105,1509840000,63613
106,1510444800,30298
107,1511049600,26145
108,1511654400,25055
109,1512259200,8142
110,1512864000,53285
111,1513468800,14456
112,1514073600,2332
113,1514678400,20125
114,1515283200,9363
115,1515888000,21404
116,1516492800,48056
117,1517097600,9702
118,1517702400,26030
119,1518307200,14128
120,1518912000,59360
121,1519516800,19955
122,1520121600,63588
123,1520726400,29260
124,1521331200,46160
125,1521936000,15025
126,1522540800,31156
127,1523145600,36819
128,1523750400,30297
129,1524355200,13811
130,1524960000,23043
131,1525564800,18797
132,1526169600,34048
133,1526774400,47684
134,1527379200,12856
135,1527984000,58861
136,1528588800,20561
137,1529193600,11511
138,1529798400,18699
139,1530403200,10634
140,1531008000,11124
141,1531612800,10650
142,1532217600,29705
143,1532822400,3145
144,1533427200,17945
145,1534032000,6786
146,1534636800,13106
147,1535241600,4649
148,1535846400,15573
149,1536451200,9101
150,1537056000,11655
151,1537660800,10916
152,1538265600,23193
153,1538870400,17362
154,1539475200,12439
155,1540080000,10848
156,1540684800,3244
157,1541289600,8751
158,1541894400,11888
159,1542499200,8105
160,1543104000,16417
161,1543708800,6793
162,1544313600,16290
163,1544918400,12502
164,1545523200,4957
165,1546128000,6883
166,1546732800,8276
167,1547337600,6572
168,1547942400,15812
169,1548547200,5427
170,1549152000,145667
171,1549756800,23200
172,1550361600,26982
173,1550966400,2793
174,1551571200,35008
175,1552176000,18186
176,1552780800,27713
177,1553385600,10415
178,1553990400,21131
179,1554595200,31079
180,1555200000,16658
181,1555804800,4024
182,1556409600,2750
183,1557014400,4470
184,1557619200,4922
185,1558224000,18199
186,1558828800,6220
187,1559433600,33008
188,1560038400,26640
189,1560643200,20866
190,1561248000,10325
191,1561852800,28515
192,1562457600,29880
193,1563062400,27426
194,1563667200,24491
195,1564272000,2658
196,1564876800,13726
197,1565481600,25228
198,1566086400,8678
199,1566691200,13126
200,1567296000,32473
201,1567900800,16887
202,1568505600,38330
203,1569110400,14256
204,1569715200,9208
205,1570320000,9865
206,1570924800,11760
207,1571529600,33300
208,1572134400,8001
209,1572739200,18305
210,1573344000,15376
211,1573948800,17678
212,1574553600,10698
213,1575158400,6024
214,1575763200,21494
215,1576368000,16251
216,1576972800,3034
217,1577577600,4001
218,1578182400,18011
219,1578787200,20124
220,1579392000,15173
221,1579996800,6735
222,1580601600,98903
223,1581206400,18533
224,1581811200,19247
225,1582416000,11600
226,1583020800,36488
227,1583625600,18757
228,1584230400,19133
229,1584835200,36157
230,1585440000,8244
231,1586044800,16959
232,1586649600,17386
233,1587254400,17812
234,1587859200,6296
235,1588464000,11951
236,1589068800,20334
237,1589673600,15942
238,1590278400,12740
239,1590883200,6984
240,1591488000,15758
241,1592092800,24740
242,1592697600,11644
243,1593302400,6812
244,1593907200,9693
245,1594512000,10835
246,1595116800,22081
247,1595721600,9589
248,1596326400,3391
249,1596931200,8684
250,1597536000,11020
251,1598140800,14989
252,1598745600,7567
253,1599350400,9327
254,1599955200,13482
255,1600560000,6913
256,1601164800,5000
257,1601769600,5955
258,1602374400,4612
259,1602979200,8317
260,1603584000,7252
261,1604188800,29653
262,1604793600,10477
263,1605398400,15639
264,1606003200,15064
265,1606608000,2724