number,week,deletion
1,1575763200,-266975
2,1576368000,-37
3,1576972800,-83
4,1577577600,0
5,1578182400,0
6,1578787200,0
7,1579392000,0
8,1579996800,0
9,1580601600,0
10,1581206400,0
11,1581811200,0
12,1582416000,0
13,1583020800,0
14,1583625600,0
15,1584230400,0
16,1584835200,0
17,1585440000,0
18,1586044800,0
19,1586649600,0
20,1587254400,0
21,1587859200,0
22,1588464000,0
23,1589068800,0
24,1589673600,0
25,1590278400,0
26,1590883200,0
27,1591488000,0
28,1592092800,0
29,1592697600,0
30,1593302400,0
31,1593907200,0
32,1594512000,0
33,1595116800,0
34,1595721600,0
35,1596326400,0
36,1596931200,0
37,1597536000,0
38,1598140800,0
39,1598745600,0
40,1599350400,0
41,1599955200,0
42,1600560000,0
43,1601164800,0
44,1601769600,0
45,1602374400,0
46,1602979200,0
47,1603584000,0
48,1604188800,0
49,1604793600,0
50,1605398400,0
51,1606003200,0
52,1606608000,0